507	Radna stolica ko?na	NULL
508	Radna stolica ko?na	NULL
509	Radna stolica ko?na	NULL
510	Radna stolica	NULL
511	Radna stolica ko?na	NULL
512	Radna stolica ko?na	NULL
513	Radna stolica ko?na	NULL
514	Stol	PP-2
515	Telefon panasonic KX-T-2373 FXW	NULL
516	Radna stolica-ko?na fotelja	DIREKCIJA
517	Radni sto	PP-2
518	Radna stolica ko?na	NULL
519	Ra?unar Pentijum 4	NULL
520	Telefon panasonic KX-TS 500 FXB	NULL
521	530	PP-2
522	Bar pokretni	DIREKCIJA
523	Sofa-1020	PP-2
524	Sofa-1850	PP-2
525	Fotelja tapacirana	PP-2
528	Ormar mali	SOP
529	Ormar	SOP
530	Ormari? sa ladicama	PP-2
531	Ormari? sa ladicama	NULL
532	Ormari? sa ladicama	SOP
533	Fax aparat-Brother 2920	MAG-4
534	Zvu?nici Teac Powermax	NULL
535	Kalkulator-digitron Genie MB208	NULL
536	Sofa	PP-2
537	Radna stolica bez to?ki?a	SP
538	Radna stolica-bez to?ki?a	SP
539	Radna stolica-ko?na za goste	SP
540	Radna stolica bez to?ki?a	SP
541	Radna stolica-bez to?ki?a	SP
542	Radna stolica-bez to?ki?a	SP
543	Radna stolica-bez to?ki?a	SP
544	Radna stolica-bez to?ki?a	SP
545	Radna stolica-bez to?ki?a	SP
546	Radna stolica-bez to?ki?a	SP
547	Stol	PS
548	Radni sto-sme?i	MODR
550	Radna stolica	PANTEON
551	Monitor LCD Aser AL 1716	PRODAJA SA
552	Fiksni telefon panasonic KX-T-7565 CE	PRODAJA
553	Telefon panasonic	NULL
554	Ormari? sa ladicama	PO-1D
555	Ormar za registrator-sivo-crveni	GP
556	Ormar za registrator-sivo-crveni	GP
557	Ormar za registrator-sivo-crveni	K-7
558	Ormar za registrator-sivo-crveni	NA-PR
559	Ormar za registrator-sivo-crveni	NA-PR
560	Ormar za registrator-sivo-crveni	IT
561	Ormar za registrator-sivo-crveni	IT
562	Ormar za registrator-sivo-crveni	IT
563	Polica-mala bijela	NA-PR
564	Radna stolica-bez to?ki?a	SP
565	Radna stolica-bez to?ki?a	SP
566	Radna stolica-bez to?ki?a	SP
567	Radna stolica-bez to?ki?a	SP
572	Eksterni disk	NULL
573	Radna stolica-crna sa naslonom za ruke	GP
574	Ormari? sa ladicama-crni	NULL
575	Stolica	NULL
576	Fiksni telefon panasonic KX-T-7565 C	PRODAJA
577	Ormari? sa ladicama	NULL
578	Radna stolica-crna sa naslonom za ruke	MODR
580	Ra?unar	NULL
581	Fiksni telefon panasonic KX-T-7565 C-6GASE030446	NULL
582	Kabinet sa ladicama	MBL
583	UPS APC	GP
584	Ormari? sa ladicama	MAG-4
585	Fiksni telefon Panasonic KX-T-7565 C	NULL
586	Radna stolica	NULL
587	Kabinet sa ladicama	MBL
588	Radna stolica	MARKETING
589	Radna stolica	PANTEON
591	Ra?unar-ku?i?te HP Server ProLian ML 110	SIT
592	Kabinet sa ladicama	MBL
593	Radna stolica	NULL
594	Kalkulator-digitron (mali-stolni)	NULL
595	Radna stolica	PP-2
596	Kabinet sa ladicama	MBL
597	Fiksni telefon panasonic KX-TS 500 FXB	MARKETING
598	Radni sto	NULL
599	Ormari? sa ladicama	NULL
601	Radni sto	SEFP
602	Ormari? sa ladicama	SEFP
603	Radna stolica	PP-2
604	Polica za registratore	SF
605	Polica za registratore	SF
606	Polica za registratore	SF
607	Polica za registratore	SF
608	Polica za registratore	SF
609	Ormari-plakari	SF
610	Polica za registratore	SF
613	Radni sto	SEFP
614	Ormari? sa ladicama	SEFP
615	Radna stolica	SF
617	Radni sto	SEFP
618	Ormari? sa  3 ladice	SEFP
619	Merdevine metalne male	SF
620	Monitor LCD Acer Al1716a	NULL
621	Ormar-plakar sa staklima	MODR
622	"Monitor LCD 17"" ACER AL 1716"	SP
623	Ra?unar-ku?i?te	NULL
624	Zvu?nici komplet 2 kom genius SP-Q06S	PRODAJA
625	Fiksni telefon panasonic KX-T-7565 C	PRODAJA
626	Radna stolica-vise?a	MAL
627	Monitor Acer CCD	MAL
628	Ra?unar-ku?i?te	SERVIS 4
629	Radna stolica	PRODAJA
630	"Monitor LCD 17"" ACER AL 1716"	SERVIS 3
631	Ra?unar-ku?i?te Mini Tower	MAG-5
632	Printer HL-2030	PO-NOVA
633	Radna stolica-vise?a	PRODAJA
638	Police za artikle-crveno-siva sa staklom	MAL
639	Police za artikle-crveno-siva sa staklom	MAL
640	Police za artikle-crveno-siva sa staklom	MAL
641	Police za artikle-crveno-siva sa staklom	MAL
642	Police za artikle-crveno-siva sa staklom	MAL
643	Police za artikle-crveno-siva sa staklom	MAL
645	Police za artikle-crveno-siva sa staklom	MAL
646	Police za artikle-crveno-siva sa staklom	MAL
647	Radna stolica	NULL
648	Drvena polica	PS
652	Ormari?-siva/postolje za fax	MAL
653	Ormar za registratore	MAL
657	Pultni stol	POR
658	Grijalica kvarcna	POR
659	Ra?unar-ku?i?te CPU AMD Athlon 3000+	SIT
660	Kabinet sa ladicama	NULL
